Date,USD (PM),week,year,month,day
6/5/17,1279.95,1,2017,6,5
6/6/17,1293.5,2,2017,6,6
6/7/17,1291.0,3,2017,6,7
6/8/17,1273.1,4,2017,6,8
6/9/17,1266.55,5,2017,6,9
6/12/17,1266.4,1,2017,6,12
6/13/17,1262.0,2,2017,6,13
6/14/17,1275.5,3,2017,6,14
6/15/17,1254.55,4,2017,6,15
6/16/17,1255.4,5,2017,6,16
6/19/17,1248.15,1,2017,6,19
6/20/17,1242.2,2,2017,6,20
6/21/17,1242.5,3,2017,6,21
6/22/17,1250.8,4,2017,6,22
6/23/17,1255.7,5,2017,6,23
6/26/17,1245.25,1,2017,6,26
6/27/17,1249.55,2,2017,6,27
6/28/17,1248.0,3,2017,6,28
6/29/17,1243.5,4,2017,6,29
6/30/17,1242.25,5,2017,6,30
7/3/17,1229.25,1,2017,7,3
7/4/17,1223.75,2,2017,7,4
7/5/17,1220.3,3,2017,7,5
7/6/17,1224.9,4,2017,7,6
7/7/17,1215.65,5,2017,7,7
7/10/17,1211.9,1,2017,7,10
7/11/17,1211.05,2,2017,7,11
7/12/17,1218.8,3,2017,7,12
7/13/17,1218.9,4,2017,7,13
7/14/17,1230.3,5,2017,7,14
7/17/17,1234.1,1,2017,7,17
7/18/17,1240.75,2,2017,7,18
7/19/17,1242.15,3,2017,7,19
7/20/17,1238.7,4,2017,7,20
7/21/17,1248.55,5,2017,7,21
7/24/17,1255.55,1,2017,7,24
7/25/17,1254.4,2,2017,7,25
7/26/17,1248.1,3,2017,7,26
7/27/17,1261.1,4,2017,7,27
7/28/17,1264.9,5,2017,7,28
7/31/17,1267.55,1,2017,7,31
8/1/17,1270.95,2,2017,8,1
8/2/17,1269.6,3,2017,8,2
8/3/17,1268.1,4,2017,8,3
8/4/17,1257.7,5,2017,8,4
8/7/17,1258.0,1,2017,8,7
8/8/17,1261.8,2,2017,8,8
8/9/17,1271.05,3,2017,8,9
8/10/17,1284.4,4,2017,8,10
8/11/17,1286.1,5,2017,8,11
8/14/17,1282.3,1,2017,8,14
8/15/17,1270.3,2,2017,8,15
8/16/17,1272.75,3,2017,8,16
8/17/17,1285.15,4,2017,8,17
8/18/17,1295.8,5,2017,8,18
8/21/17,1292.9,1,2017,8,21
8/22/17,1284.2,2,2017,8,22
8/23/17,1286.65,3,2017,8,23
8/24/17,1289.0,4,2017,8,24
8/25/17,1285.3,5,2017,8,25
8/29/17,1318.65,2,2017,8,29
8/30/17,1308.5,3,2017,8,30
8/31/17,1311.75,4,2017,8,31
9/1/17,1320.4,5,2017,9,1
9/4/17,1333.1,1,2017,9,4
9/5/17,1335.55,2,2017,9,5
9/6/17,1337.85,3,2017,9,6
9/7/17,1343.5,4,2017,9,7
9/8/17,1346.25,5,2017,9,8
9/11/17,1334.2,1,2017,9,11
9/12/17,1326.5,2,2017,9,12
9/13/17,1327.55,3,2017,9,13
9/14/17,1324.55,4,2017,9,14
9/15/17,1322.85,5,2017,9,15
9/18/17,1312.1,1,2017,9,18
9/19/17,1309.6,2,2017,9,19
9/20/17,1311.3,3,2017,9,20
9/21/17,1292.1,4,2017,9,21
9/22/17,1294.8,5,2017,9,22
9/25/17,1293.3,1,2017,9,25
9/26/17,1300.05,2,2017,9,26
9/27/17,1282.55,3,2017,9,27
9/28/17,1283.35,4,2017,9,28
9/29/17,1283.1,5,2017,9,29
10/2/17,1273.7,1,2017,10,2
10/3/17,1271.25,2,2017,10,3
10/4/17,1274.25,3,2017,10,4
10/5/17,1274.5,4,2017,10,5
10/6/17,1261.8,5,2017,10,6
10/9/17,1278.75,1,2017,10,9
10/10/17,1291.4,2,2017,10,10
10/11/17,1289.25,3,2017,10,11
10/12/17,1290.25,4,2017,10,12
10/13/17,1299.6,5,2017,10,13
10/16/17,1303.3,1,2017,10,16
10/17/17,1284.75,2,2017,10,17
10/18/17,1280.2,3,2017,10,18
10/19/17,1286.4,4,2017,10,19
10/20/17,1281.2,5,2017,10,20
10/23/17,1274.9,1,2017,10,23
10/24/17,1276.45,2,2017,10,24
10/25/17,1275.0,3,2017,10,25
10/26/17,1273.75,4,2017,10,26
10/27/17,1266.45,5,2017,10,27
10/30/17,1272.0,1,2017,10,30
10/31/17,1270.15,2,2017,10,31
11/1/17,1277.05,3,2017,11,1
11/2/17,1279.2,4,2017,11,2
11/3/17,1267.2,5,2017,11,3
11/6/17,1270.9,1,2017,11,6
11/7/17,1275.6,2,2017,11,7
11/8/17,1284.0,3,2017,11,8
11/9/17,1284.8,4,2017,11,9
11/10/17,1284.3,5,2017,11,10
11/13/17,1277.95,1,2017,11,13
11/14/17,1274.6,2,2017,11,14
11/15/17,1282.2,3,2017,11,15
11/16/17,1280.0,4,2017,11,16
11/17/17,1284.35,5,2017,11,17
11/20/17,1286.2,1,2017,11,20
11/21/17,1283.3,2,2017,11,21
11/22/17,1286.95,3,2017,11,22
11/23/17,1290.35,4,2017,11,23
11/24/17,1290.5,5,2017,11,24
11/27/17,1294.9,1,2017,11,27
11/28/17,1291.85,2,2017,11,28
11/29/17,1283.85,3,2017,11,29
11/30/17,1280.2,4,2017,11,30
12/1/17,1275.5,5,2017,12,1
12/4/17,1273.45,1,2017,12,4
12/5/17,1266.3,2,2017,12,5
12/6/17,1263.7,3,2017,12,6
12/7/17,1255.0,4,2017,12,7
12/8/17,1250.65,5,2017,12,8
12/11/17,1247.15,1,2017,12,11
12/12/17,1240.9,2,2017,12,12
12/13/17,1242.65,3,2017,12,13
12/14/17,1251.0,4,2017,12,14
12/15/17,1254.6,5,2017,12,15
12/18/17,1260.6,1,2017,12,18
12/19/17,1260.35,2,2017,12,19
12/20/17,1264.55,3,2017,12,20
12/21/17,1264.55,4,2017,12,21
12/22/17,,5,2017,12,22
12/27/17,1279.4,3,2017,12,27
12/28/17,1291.0,4,2017,12,28
12/29/17,,5,2017,12,29
1/2/18,1312.05,2,2018,1,2
1/3/18,1314.9,3,2018,1,3
1/4/18,1314.5,4,2018,1,4
1/5/18,1317.15,5,2018,1,5
1/8/18,1319.95,1,2018,1,8
1/9/18,1311.0,2,2018,1,9
1/10/18,1319.75,3,2018,1,10
1/11/18,1323.05,4,2018,1,11
1/12/18,1326.8,5,2018,1,12
1/15/18,1339.25,1,2018,1,15
1/16/18,1333.85,2,2018,1,16
1/17/18,1335.65,3,2018,1,17
1/18/18,1332.2,4,2018,1,18
1/19/18,1334.95,5,2018,1,19
1/22/18,1332.6,1,2018,1,22
1/23/18,1333.4,2,2018,1,23
1/24/18,1353.7,3,2018,1,24
1/25/18,1354.95,4,2018,1,25
1/26/18,1353.15,5,2018,1,26
1/29/18,1343.85,1,2018,1,29
1/30/18,1344.9,2,2018,1,30
1/31/18,1345.05,3,2018,1,31
2/1/18,1341.35,4,2018,2,1
2/2/18,1331.15,5,2018,2,2
2/5/18,1333.6,1,2018,2,5
2/6/18,1331.4,2,2018,2,6
2/7/18,1324.65,3,2018,2,7
2/8/18,1315.45,4,2018,2,8
2/9/18,1314.1,5,2018,2,9
2/12/18,1322.3,1,2018,2,12
2/13/18,1325.35,2,2018,2,13
2/14/18,1336.25,3,2018,2,14
2/15/18,1352.45,4,2018,2,15
2/16/18,1352.1,5,2018,2,16
2/19/18,1346.6,1,2018,2,19
2/20/18,1339.85,2,2018,2,20
2/21/18,1330.5,3,2018,2,21
2/22/18,1328.35,4,2018,2,22
2/23/18,1327.95,5,2018,2,23
2/26/18,1333.5,1,2018,2,26
2/27/18,1325.75,2,2018,2,27
2/28/18,1317.85,3,2018,2,28
3/1/18,1307.75,4,2018,3,1
3/2/18,1322.3,5,2018,3,2
3/5/18,1320.4,1,2018,3,5
3/6/18,1331.4,2,2018,3,6
3/7/18,1329.4,3,2018,3,7
3/8/18,1321.0,4,2018,3,8
3/9/18,1320.6,5,2018,3,9
3/12/18,1319.15,1,2018,3,12
3/13/18,1322.75,2,2018,3,13
3/14/18,1323.55,3,2018,3,14
3/15/18,1318.75,4,2018,3,15
3/16/18,1310.1,5,2018,3,16
3/19/18,1312.4,1,2018,3,19
3/20/18,1311.0,2,2018,3,20
3/21/18,1321.35,3,2018,3,21
3/22/18,1329.15,4,2018,3,22
3/23/18,1346.6,5,2018,3,23
3/26/18,1352.4,1,2018,3,26
3/27/18,1341.45,2,2018,3,27
3/28/18,1332.45,3,2018,3,28
3/29/18,1323.85,4,2018,3,29
4/3/18,1333.45,2,2018,4,3
4/4/18,1337.3,3,2018,4,4
4/5/18,1327.7,4,2018,4,5
4/6/18,1331.2,5,2018,4,6
4/9/18,1331.95,1,2018,4,9
4/10/18,1338.95,2,2018,4,10
4/11/18,1350.75,3,2018,4,11
4/12/18,1341.35,4,2018,4,12
4/13/18,1343.7,5,2018,4,13
4/16/18,1349.35,1,2018,4,16
4/17/18,1342.1,2,2018,4,17
4/18/18,1351.45,3,2018,4,18
4/19/18,1348.6,4,2018,4,19
4/20/18,1336.75,5,2018,4,20
4/23/18,1324.3,1,2018,4,23
4/24/18,1328.85,2,2018,4,24
4/25/18,1321.65,3,2018,4,25
4/26/18,1320.7,4,2018,4,26
4/27/18,1321.5,5,2018,4,27
4/30/18,1313.2,1,2018,4,30
5/1/18,1307.1,2,2018,5,1
5/2/18,1304.2,3,2018,5,2
5/3/18,1315.05,4,2018,5,3
5/4/18,1309.4,5,2018,5,4
5/8/18,1306.6,2,2018,5,8
5/9/18,1313.85,3,2018,5,9
5/10/18,1318.8,4,2018,5,10
5/11/18,1324.35,5,2018,5,11
5/14/18,1319.85,1,2018,5,14
5/15/18,1295.0,2,2018,5,15
5/16/18,1291.25,3,2018,5,16
5/17/18,1289.5,4,2018,5,17
5/18/18,1288.3,5,2018,5,18
5/21/18,1288.35,1,2018,5,21
5/22/18,1293.05,2,2018,5,22
5/23/18,1289.0,3,2018,5,23
5/24/18,1304.85,4,2018,5,24
5/25/18,1303.5,5,2018,5,25
5/29/18,1295.5,2,2018,5,29
5/30/18,1300.7,3,2018,5,30
5/31/18,1305.35,4,2018,5,31
6/1/18,1294.6,5,2018,6,1
6/4/18,1295.45,1,2018,6,4
6/5/18,1292.05,2,2018,6,5
6/6/18,1300.1,3,2018,6,6
6/7/18,1297.25,4,2018,6,7
6/8/18,1298.25,5,2018,6,8
6/11/18,1299.6,1,2018,6,11
6/12/18,1298.65,2,2018,6,12
6/13/18,1296.15,3,2018,6,13
6/14/18,1302.75,4,2018,6,14
6/15/18,1285.25,5,2018,6,15
6/18/18,1281.55,1,2018,6,18
6/19/18,1276.15,2,2018,6,19
6/20/18,1274.2,3,2018,6,20
6/21/18,1266.15,4,2018,6,21
6/22/18,1269.15,5,2018,6,22
6/25/18,1268.7,1,2018,6,25
6/26/18,1260.3,2,2018,6,26
6/27/18,1254.6,3,2018,6,27
6/28/18,1251.55,4,2018,6,28
6/29/18,1250.45,5,2018,6,29
7/2/18,1247.8,1,2018,7,2
7/3/18,1251.75,2,2018,7,3
7/4/18,1255.65,3,2018,7,4
7/5/18,1255.5,4,2018,7,5
7/6/18,1255.35,5,2018,7,6
7/9/18,1262.05,1,2018,7,9
7/10/18,1254.0,2,2018,7,10
7/11/18,1251.4,3,2018,7,11
7/12/18,1245.9,4,2018,7,12
7/13/18,1241.7,5,2018,7,13
7/16/18,1241.1,1,2018,7,16
7/17/18,1232.8,2,2018,7,17
7/18/18,1224.5,3,2018,7,18
7/19/18,1217.55,4,2018,7,19
7/20/18,1228.75,5,2018,7,20
7/23/18,1224.95,1,2018,7,23
7/24/18,1228.35,2,2018,7,24
7/25/18,1231.5,3,2018,7,25
7/26/18,1228.25,4,2018,7,26
7/27/18,1223.95,5,2018,7,27
7/30/18,1223.8,1,2018,7,30
7/31/18,1220.95,2,2018,7,31
8/1/18,1219.0,3,2018,8,1
8/2/18,1215.45,4,2018,8,2
8/3/18,1216.3,5,2018,8,3
8/6/18,1209.65,1,2018,8,6
8/7/18,1212.35,2,2018,8,7
8/8/18,1209.55,3,2018,8,8
8/9/18,1214.35,4,2018,8,9
8/10/18,1214.4,5,2018,8,10
8/13/18,1200.35,1,2018,8,13
8/14/18,1197.0,2,2018,8,14
8/15/18,1182.0,3,2018,8,15
8/16/18,1180.4,4,2018,8,16
8/17/18,1178.4,5,2018,8,17
8/20/18,1184.35,1,2018,8,20
8/21/18,1190.95,2,2018,8,21
8/22/18,1196.65,3,2018,8,22
8/23/18,1192.35,4,2018,8,23
8/24/18,1197.7,5,2018,8,24
8/28/18,1212.25,2,2018,8,28
8/29/18,1204.2,3,2018,8,29
8/30/18,1197.3,4,2018,8,30
8/31/18,1202.45,5,2018,8,31
9/3/18,1200.05,1,2018,9,3
9/4/18,1190.85,2,2018,9,4
9/5/18,1196.7,3,2018,9,5
9/6/18,1205.15,4,2018,9,6
9/7/18,1198.9,5,2018,9,7
9/10/18,1196.6,1,2018,9,10
9/11/18,1189.85,2,2018,9,11
9/12/18,1195.6,3,2018,9,12
9/13/18,1209.8,4,2018,9,13
9/14/18,1201.95,5,2018,9,14
9/17/18,1201.9,1,2018,9,17
9/18/18,1200.2,2,2018,9,18
9/19/18,1203.3,3,2018,9,19
9/20/18,1208.35,4,2018,9,20
9/21/18,1198.7,5,2018,9,21
9/24/18,1202.75,1,2018,9,24
9/25/18,1201.9,2,2018,9,25
9/26/18,1194.25,3,2018,9,26
9/27/18,1185.4,4,2018,9,27
9/28/18,1187.25,5,2018,9,28
10/1/18,1189.35,1,2018,10,1
10/2/18,1204.7,2,2018,10,2
10/3/18,1201.2,3,2018,10,3
10/4/18,1203.45,4,2018,10,4
10/5/18,1203.8,5,2018,10,5
10/8/18,1186.95,1,2018,10,8
10/9/18,1185.55,2,2018,10,9
10/10/18,1188.6,3,2018,10,10
10/11/18,1205.55,4,2018,10,11
10/12/18,1219.75,5,2018,10,12
10/15/18,1229.95,1,2018,10,15
10/16/18,1230.7,2,2018,10,16
10/17/18,1229.05,3,2018,10,17
10/18/18,1223.0,4,2018,10,18
10/19/18,1227.85,5,2018,10,19
10/22/18,1222.3,1,2018,10,22
10/23/18,1235.95,2,2018,10,23
10/24/18,1230.55,3,2018,10,24
10/25/18,1230.8,4,2018,10,25
10/26/18,1233.85,5,2018,10,26
10/29/18,1230.8,1,2018,10,29
10/30/18,1225.4,2,2018,10,30
10/31/18,1214.95,3,2018,10,31
11/1/18,1231.15,4,2018,11,1
11/2/18,1232.1,5,2018,11,2
11/5/18,1232.25,1,2018,11,5
11/6/18,1231.6,2,2018,11,6
11/7/18,1229.95,3,2018,11,7
11/8/18,1224.15,4,2018,11,8
11/9/18,1211.4,5,2018,11,9
11/12/18,1205.55,1,2018,11,12
11/13/18,1202.1,2,2018,11,13
11/14/18,1203.25,3,2018,11,14
11/15/18,1211.85,4,2018,11,15
11/16/18,1222.4,5,2018,11,16
11/19/18,1221.6,1,2018,11,19
11/20/18,1223.0,2,2018,11,20
11/21/18,1226.1,3,2018,11,21
11/22/18,1227.05,4,2018,11,22
11/23/18,1223.65,5,2018,11,23
11/26/18,1223.4,1,2018,11,26
11/27/18,1221.2,2,2018,11,27
11/28/18,1213.25,3,2018,11,28
11/29/18,1226.25,4,2018,11,29
11/30/18,1217.55,5,2018,11,30
12/3/18,1230.3,1,2018,12,3
12/4/18,1240.3,2,2018,12,4
12/5/18,1235.9,3,2018,12,5
12/6/18,1242.55,4,2018,12,6
12/7/18,1243.3,5,2018,12,7
12/10/18,1245.35,1,2018,12,10
12/11/18,1245.3,2,2018,12,11
12/12/18,1245.75,3,2018,12,12
12/13/18,1242.75,4,2018,12,13
12/14/18,1235.35,5,2018,12,14
12/17/18,1241.65,1,2018,12,17
12/18/18,1246.3,2,2018,12,18
12/19/18,1255.0,3,2018,12,19
12/20/18,1259.75,4,2018,12,20
12/21/18,1258.15,5,2018,12,21
12/24/18,,1,2018,12,24
12/27/18,1268.0,4,2018,12,27
12/28/18,1279.0,5,2018,12,28
12/31/18,,1,2018,12,31
1/2/19,1282.9,3,2019,1,2
1/3/19,1290.45,4,2019,1,3
1/4/19,1279.9,5,2019,1,4
1/7/19,1292.2,1,2019,1,7
1/8/19,1286.45,2,2019,1,8
1/9/19,1288.6,3,2019,1,9
1/10/19,1291.9,4,2019,1,10
1/11/19,1288.95,5,2019,1,11
1/14/19,1292.75,1,2019,1,14
1/15/19,1294.4,2,2019,1,15
1/16/19,1292.3,3,2019,1,16
1/17/19,1290.7,4,2019,1,17
1/18/19,1284.2,5,2019,1,18
1/21/19,1279.55,1,2019,1,21
1/22/19,1282.1,2,2019,1,22
1/23/19,1279.8,3,2019,1,23
1/24/19,1283.7,4,2019,1,24
1/25/19,1293.9,5,2019,1,25
1/28/19,1302.15,1,2019,1,28
1/29/19,1307.55,2,2019,1,29
1/30/19,1310.7,3,2019,1,30
1/31/19,1323.25,4,2019,1,31
2/1/19,1318.7,5,2019,2,1
2/4/19,1312.15,1,2019,2,4
2/5/19,1314.2,2,2019,2,5
2/6/19,1312.4,3,2019,2,6
2/7/19,1310.0,4,2019,2,7
2/8/19,1314.85,5,2019,2,8
2/11/19,1306.4,1,2019,2,11
2/12/19,1310.0,2,2019,2,12
2/13/19,1312.8,3,2019,2,13
2/14/19,1311.45,4,2019,2,14
2/15/19,1316.55,5,2019,2,15
2/18/19,1325.5,1,2019,2,18
2/19/19,1334.15,2,2019,2,19
2/20/19,1343.75,3,2019,2,20
2/21/19,1331.25,4,2019,2,21
2/22/19,1329.05,5,2019,2,22
2/25/19,1331.05,1,2019,2,25
2/26/19,1325.05,2,2019,2,26
2/27/19,1322.85,3,2019,2,27
2/28/19,1319.15,4,2019,2,28
3/1/19,1311.95,5,2019,3,1
3/4/19,1285.4,1,2019,3,4
3/5/19,1283.8,2,2019,3,5
3/6/19,1285.85,3,2019,3,6
3/7/19,1285.3,4,2019,3,7
3/8/19,1296.75,5,2019,3,8
3/11/19,1292.75,1,2019,3,11
3/12/19,1297.05,2,2019,3,12
3/13/19,1306.95,3,2019,3,13
3/14/19,1295.55,4,2019,3,14
3/15/19,1303.5,5,2019,3,15
3/18/19,1305.6,1,2019,3,18
3/19/19,1307.7,2,2019,3,19
3/20/19,1303.7,3,2019,3,20
3/21/19,1309.6,4,2019,3,21
3/22/19,1311.3,5,2019,3,22
3/25/19,1319.55,1,2019,3,25
3/26/19,1316.3,2,2019,3,26
3/27/19,1309.7,3,2019,3,27
3/28/19,1295.15,4,2019,3,28
3/29/19,1295.4,5,2019,3,29
4/1/19,1293.5,1,2019,4,1
4/2/19,1290.3,2,2019,4,2
4/3/19,1290.45,3,2019,4,3
4/4/19,1283.15,4,2019,4,4
4/5/19,1288.45,5,2019,4,5
4/8/19,1300.0,1,2019,4,8
4/9/19,1303.0,2,2019,4,9
4/10/19,1305.45,3,2019,4,10
4/11/19,1298.8,4,2019,4,11
4/12/19,1294.3,5,2019,4,12
4/15/19,1285.65,1,2019,4,15
4/16/19,1276.35,2,2019,4,16
4/17/19,1275.85,3,2019,4,17
4/18/19,1275.7,4,2019,4,18
4/23/19,1269.5,2,2019,4,23
4/24/19,1271.65,3,2019,4,24
4/25/19,1280.8,4,2019,4,25
4/26/19,1284.2,5,2019,4,26
4/29/19,1279.5,1,2019,4,29
4/30/19,1282.3,2,2019,4,30
5/1/19,1283.8,3,2019,5,1
5/2/19,1270.95,4,2019,5,2
5/3/19,1278.55,5,2019,5,3
5/7/19,1281.2,2,2019,5,7
5/8/19,1285.2,3,2019,5,8
5/9/19,1286.1,4,2019,5,9
5/10/19,1287.1,5,2019,5,10
5/13/19,1295.6,1,2019,5,13
5/14/19,1298.4,2,2019,5,14
5/15/19,1299.1,3,2019,5,15
5/16/19,1291.7,4,2019,5,16
5/17/19,1280.8,5,2019,5,17
5/20/19,1276.85,1,2019,5,20
5/21/19,1271.15,2,2019,5,21
5/22/19,1273.8,3,2019,5,22
5/23/19,1283.65,4,2019,5,23
5/24/19,1282.5,5,2019,5,24
5/28/19,1278.3,2,2019,5,28
5/29/19,1281.65,3,2019,5,29
5/30/19,1280.95,4,2019,5,30
5/31/19,1295.55,5,2019,5,31
6/3/19,1317.1,1,2019,6,3
6/4/19,1324.25,2,2019,6,4
6/5/19,1335.05,3,2019,6,5
6/6/19,1335.5,4,2019,6,6
6/7/19,1340.65,5,2019,6,7
6/10/19,1328.6,1,2019,6,10
6/11/19,1324.3,2,2019,6,11
6/12/19,1332.35,3,2019,6,12
6/13/19,1335.9,4,2019,6,13
6/14/19,1351.25,5,2019,6,14
6/17/19,1341.3,1,2019,6,17
6/18/19,1341.35,2,2019,6,18
